{'time':'2021-02-18 16:17:41,941','message': {'state':'[[  0  37  75  76 199 399]]', 'action': '48', 'next_state': '[[  0  27  56  76 298 598]]', 'reward': '-0.3355172413793104'}}
{'time':'2021-02-18 16:17:47,247','message': {'state':'[[  0  27  56  76 298 598]]', 'action': '18', 'next_state': '[[  0  27  56  76 327 657]]', 'reward': '-0.34582027168234064'}}
{'time':'2021-02-18 16:17:53,024','message': {'state':'[[  0  27  56  76 327 657]]', 'action': '18', 'next_state': '[[  0  27  56  76 359 722]]', 'reward': '-0.35532440391374565'}}
{'time':'2021-02-18 16:17:58,193','message': {'state':'[[  0  27  56  76 359 722]]', 'action': '18', 'next_state': '[[  0  27  56  76 394 794]]', 'reward': '-0.36301724137931035'}}
{'time':'2021-02-18 16:18:04,211','message': {'state':'[[  0  27  56  76 394 794]]', 'action': '18', 'next_state': '[[  0  27  56  76 433 873]]', 'reward': '-0.37119905956112853'}}
{'time':'2021-02-18 16:18:09,395','message': {'state':'[[  0  27  56  76 433 873]]', 'action': '18', 'next_state': '[[  3  27  56  76 476 960]]', 'reward': '-0.32701624394414364'}}
{'time':'2021-02-18 16:18:14,740','message': {'state':'[[  3  27  56  76 476 960]]', 'action': '18', 'next_state': '[[   0   27   56   76  523 1056]]', 'reward': '-0.38484181924047356'}}
{'time':'2021-02-18 16:18:21,489','message': {'state':'[[   0   27   56   76  523 1056]]', 'action': '18', 'next_state': '[[   3   27   56   76  575 1161]]', 'reward': '-0.33956102153701306'}}
{'time':'2021-02-18 16:18:26,667','message': {'state':'[[   3   27   56   76  575 1161]]', 'action': '18', 'next_state': '[[   0   27   56   76  632 1277]]', 'reward': '-0.39652499331729485'}}
{'time':'2021-02-18 16:18:31,967','message': {'state':'[[   0   27   56   76  632 1277]]', 'action': '18', 'next_state': '[[   0   27   56   76  695 1404]]', 'reward': '-0.40204756577987455'}}
{'time':'2021-02-18 16:18:37,147','message': {'state':'[[   0   27   56   76  695 1404]]', 'action': '18', 'next_state': '[[   0   27   56   76  764 1544]]', 'reward': '-0.4065428824049514'}}
{'time':'2021-02-18 16:18:42,411','message': {'state':'[[   0   27   56   76  764 1544]]', 'action': '18', 'next_state': '[[   0   27   56   76  840 1698]]', 'reward': '-0.41073868660075563'}}
{'time':'2021-02-18 16:18:47,585','message': {'state':'[[   0   27   56   76  840 1698]]', 'action': '18', 'next_state': '[[   0   27   56   76  924 1867]]', 'reward': '-0.41514608549383847'}}
{'time':'2021-02-18 16:18:52,768','message': {'state':'[[   0   27   56   76  924 1867]]', 'action': '18', 'next_state': '[[   0   27   56   76 1016 2053]]', 'reward': '-0.41874771389618604'}}
{'time':'2021-02-18 16:18:57,950','message': {'state':'[[   0   27   56   76 1016 2053]]', 'action': '18', 'next_state': '[[   0   27   56   76 1117 2258]]', 'reward': '-0.4216960319139291'}}
{'time':'2021-02-18 16:19:06,306','message': {'state':'[[   0   27   56   76 1117 2258]]', 'action': '18', 'next_state': '[[   0   27   56   76 1228 2483]]', 'reward': '-0.42448138480560516'}}
{'time':'2021-02-18 16:19:06,307','message': {'episode': '4/1000', 'score': '21', 'e': '0.095'}}
{'time':'2021-02-18 16:19:06,307','message': {'Steps': '21', 'Episode': '4', 'Total Reward': '-7.091891788712824'}}
{'time':'2021-02-18 16:19:27,680','message': {'state':'[[  0 100 200  76 100 200]]', 'action': '18', 'next_state': '[[  0 100 200  76 110 220]]', 'reward': '-0.15454545454545454'}}
{'time':'2021-02-18 16:19:32,854','message': {'state':'[[  0 100 200  76 110 220]]', 'action': '18', 'next_state': '[[  0 100 200  13 121 242]]', 'reward': '-0.44628099173553715'}}
{'time':'2021-02-18 16:19:38,033','message': {'state':'[[  0 100 200  13 121 242]]', 'action': '18', 'next_state': '[[  2 100 200  76 133 266]]', 'reward': '-0.2042857142857143'}}
{'time':'2021-02-18 16:19:43,293','message': {'state':'[[  2 100 200  76 133 266]]', 'action': '18', 'next_state': '[[  2 100 200  76 146 292]]', 'reward': '-0.22972602739726028'}}
{'time':'2021-02-18 16:19:48,526','message': {'state':'[[  2 100 200  76 146 292]]', 'action': '18', 'next_state': '[[  2 100 200  76 160 321]]', 'reward': '-0.25086956521739134'}}
